"","Week","Classical","Hemorrhag"
"1",1,0,0
"2",2,0,0
"3",3,0,0
"4",4,1,0
"5",5,0,0
"6",6,0,0
"7",7,0,0
"8",8,0,0
"9",9,0,0
"10",10,0,0
"11",11,0,0
"12",12,0,0
"13",13,0,0
"14",14,0,0
"15",15,0,0
"16",16,0,0
"17",17,0,0
"18",18,1,0
"19",19,1,0
"20",20,0,0
"21",21,0,0
"22",22,0,1
"23",23,0,0
"24",24,0,0
"25",25,0,0
"26",26,0,0
"27",27,1,1
"28",28,2,0
"29",29,2,0
"30",30,0,0
"31",31,0,0
"32",32,0,0
"33",33,4,0
"34",34,0,0
"35",35,8,1
"36",36,17,5
"37",37,19,5
"38",38,55,17
"39",39,77,20
"40",40,123,22
"41",41,114,16
"42",42,119,22
"43",43,76,12
"44",44,75,16
"45",45,115,19
"46",46,50,6
"47",47,27,7
"48",48,13,1
"49",49,11,1
"50",50,3,2
"51",51,1,0
"52",52,1,0
